area_peril_id,companysize,annualrevenuelower,annualrevenueupper,currency,CountryCode,peril_id
1,1,0,10000000.0,USD,AD,CBS
2,2,10000000,100000000.0,USD,AD,CBS
3,3,100000000,1000000000.0,USD,AD,CBS
4,4,1000000000,10000000000.0,USD,AD,CBS
5,5,10000000000,100000000000.0,USD,AD,CBS
6,6,100000000000,inf,USD,AD,CBS
7,1,0,10000000.0,USD,AE,CBS
8,2,10000000,100000000.0,USD,AE,CBS
9,3,100000000,1000000000.0,USD,AE,CBS
10,4,1000000000,10000000000.0,USD,AE,CBS
11,5,10000000000,100000000000.0,USD,AE,CBS
12,6,100000000000,inf,USD,AE,CBS
13,1,0,10000000.0,USD,AF,CBS
14,2,10000000,100000000.0,USD,AF,CBS
15,3,100000000,1000000000.0,USD,AF,CBS
16,4,1000000000,10000000000.0,USD,AF,CBS
17,5,10000000000,100000000000.0,USD,AF,CBS
18,6,100000000000,inf,USD,AF,CBS
19,1,0,10000000.0,USD,AG,CBS
20,2,10000000,100000000.0,USD,AG,CBS
21,3,100000000,1000000000.0,USD,AG,CBS
22,4,1000000000,10000000000.0,USD,AG,CBS
23,5,10000000000,100000000000.0,USD,AG,CBS
24,6,100000000000,inf,USD,AG,CBS
25,1,0,10000000.0,USD,AI,CBS
26,2,10000000,100000000.0,USD,AI,CBS
27,3,100000000,1000000000.0,USD,AI,CBS
28,4,1000000000,10000000000.0,USD,AI,CBS
29,5,10000000000,100000000000.0,USD,AI,CBS
30,6,100000000000,inf,USD,AI,CBS
31,1,0,10000000.0,USD,AL,CBS
32,2,10000000,100000000.0,USD,AL,CBS
33,3,100000000,1000000000.0,USD,AL,CBS
34,4,1000000000,10000000000.0,USD,AL,CBS
35,5,10000000000,100000000000.0,USD,AL,CBS
36,6,100000000000,inf,USD,AL,CBS
37,1,0,10000000.0,USD,AM,CBS
38,2,10000000,100000000.0,USD,AM,CBS
39,3,100000000,1000000000.0,USD,AM,CBS
40,4,1000000000,10000000000.0,USD,AM,CBS
41,5,10000000000,100000000000.0,USD,AM,CBS
42,6,100000000000,inf,USD,AM,CBS
43,1,0,10000000.0,USD,AO,CBS
44,2,10000000,100000000.0,USD,AO,CBS
45,3,100000000,1000000000.0,USD,AO,CBS
46,4,1000000000,10000000000.0,USD,AO,CBS
47,5,10000000000,100000000000.0,USD,AO,CBS
48,6,100000000000,inf,USD,AO,CBS
49,1,0,10000000.0,USD,AR,CBS
50,2,10000000,100000000.0,USD,AR,CBS
51,3,100000000,1000000000.0,USD,AR,CBS
52,4,1000000000,10000000000.0,USD,AR,CBS
53,5,10000000000,100000000000.0,USD,AR,CBS
54,6,100000000000,inf,USD,AR,CBS
55,1,0,10000000.0,USD,AS,CBS
56,2,10000000,100000000.0,USD,AS,CBS
57,3,100000000,1000000000.0,USD,AS,CBS
58,4,1000000000,10000000000.0,USD,AS,CBS
59,5,10000000000,100000000000.0,USD,AS,CBS
60,6,100000000000,inf,USD,AS,CBS
61,1,0,10000000.0,USD,AT,CBS
62,2,10000000,100000000.0,USD,AT,CBS
63,3,100000000,1000000000.0,USD,AT,CBS
64,4,1000000000,10000000000.0,USD,AT,CBS
65,5,10000000000,100000000000.0,USD,AT,CBS
66,6,100000000000,inf,USD,AT,CBS
67,1,0,10000000.0,USD,AU,CBS
68,2,10000000,100000000.0,USD,AU,CBS
69,3,100000000,1000000000.0,USD,AU,CBS
70,4,1000000000,10000000000.0,USD,AU,CBS
71,5,10000000000,100000000000.0,USD,AU,CBS
72,6,100000000000,inf,USD,AU,CBS
73,1,0,10000000.0,USD,AW,CBS
74,2,10000000,100000000.0,USD,AW,CBS
75,3,100000000,1000000000.0,USD,AW,CBS
76,4,1000000000,10000000000.0,USD,AW,CBS
77,5,10000000000,100000000000.0,USD,AW,CBS
78,6,100000000000,inf,USD,AW,CBS
79,1,0,10000000.0,USD,AX,CBS
80,2,10000000,100000000.0,USD,AX,CBS
81,3,100000000,1000000000.0,USD,AX,CBS
82,4,1000000000,10000000000.0,USD,AX,CBS
83,5,10000000000,100000000000.0,USD,AX,CBS
84,6,100000000000,inf,USD,AX,CBS
85,1,0,10000000.0,USD,AZ,CBS
86,2,10000000,100000000.0,USD,AZ,CBS
87,3,100000000,1000000000.0,USD,AZ,CBS
88,4,1000000000,10000000000.0,USD,AZ,CBS
89,5,10000000000,100000000000.0,USD,AZ,CBS
90,6,100000000000,inf,USD,AZ,CBS
91,1,0,10000000.0,USD,BA,CBS
92,2,10000000,100000000.0,USD,BA,CBS
93,3,100000000,1000000000.0,USD,BA,CBS
94,4,1000000000,10000000000.0,USD,BA,CBS
95,5,10000000000,100000000000.0,USD,BA,CBS
96,6,100000000000,inf,USD,BA,CBS
97,1,0,10000000.0,USD,BB,CBS
98,2,10000000,100000000.0,USD,BB,CBS
99,3,100000000,1000000000.0,USD,BB,CBS
100,4,1000000000,10000000000.0,USD,BB,CBS
101,5,10000000000,100000000000.0,USD,BB,CBS
102,6,100000000000,inf,USD,BB,CBS
103,1,0,10000000.0,USD,BD,CBS
104,2,10000000,100000000.0,USD,BD,CBS
105,3,100000000,1000000000.0,USD,BD,CBS
106,4,1000000000,10000000000.0,USD,BD,CBS
107,5,10000000000,100000000000.0,USD,BD,CBS
108,6,100000000000,inf,USD,BD,CBS
109,1,0,10000000.0,USD,BE,CBS
110,2,10000000,100000000.0,USD,BE,CBS
111,3,100000000,1000000000.0,USD,BE,CBS
112,4,1000000000,10000000000.0,USD,BE,CBS
113,5,10000000000,100000000000.0,USD,BE,CBS
114,6,100000000000,inf,USD,BE,CBS
115,1,0,10000000.0,USD,BF,CBS
116,2,10000000,100000000.0,USD,BF,CBS
117,3,100000000,1000000000.0,USD,BF,CBS
118,4,1000000000,10000000000.0,USD,BF,CBS
119,5,10000000000,100000000000.0,USD,BF,CBS
120,6,100000000000,inf,USD,BF,CBS
121,1,0,10000000.0,USD,BG,CBS
122,2,10000000,100000000.0,USD,BG,CBS
123,3,100000000,1000000000.0,USD,BG,CBS
124,4,1000000000,10000000000.0,USD,BG,CBS
125,5,10000000000,100000000000.0,USD,BG,CBS
126,6,100000000000,inf,USD,BG,CBS
127,1,0,10000000.0,USD,BH,CBS
128,2,10000000,100000000.0,USD,BH,CBS
129,3,100000000,1000000000.0,USD,BH,CBS
130,4,1000000000,10000000000.0,USD,BH,CBS
131,5,10000000000,100000000000.0,USD,BH,CBS
132,6,100000000000,inf,USD,BH,CBS
133,1,0,10000000.0,USD,BI,CBS
134,2,10000000,100000000.0,USD,BI,CBS
135,3,100000000,1000000000.0,USD,BI,CBS
136,4,1000000000,10000000000.0,USD,BI,CBS
137,5,10000000000,100000000000.0,USD,BI,CBS
138,6,100000000000,inf,USD,BI,CBS
139,1,0,10000000.0,USD,BJ,CBS
140,2,10000000,100000000.0,USD,BJ,CBS
141,3,100000000,1000000000.0,USD,BJ,CBS
142,4,1000000000,10000000000.0,USD,BJ,CBS
143,5,10000000000,100000000000.0,USD,BJ,CBS
144,6,100000000000,inf,USD,BJ,CBS
145,1,0,10000000.0,USD,BL,CBS
146,2,10000000,100000000.0,USD,BL,CBS
147,3,100000000,1000000000.0,USD,BL,CBS
148,4,1000000000,10000000000.0,USD,BL,CBS
149,5,10000000000,100000000000.0,USD,BL,CBS
150,6,100000000000,inf,USD,BL,CBS
151,1,0,10000000.0,USD,BM,CBS
152,2,10000000,100000000.0,USD,BM,CBS
153,3,100000000,1000000000.0,USD,BM,CBS
154,4,1000000000,10000000000.0,USD,BM,CBS
155,5,10000000000,100000000000.0,USD,BM,CBS
156,6,100000000000,inf,USD,BM,CBS
157,1,0,10000000.0,USD,BN,CBS
158,2,10000000,100000000.0,USD,BN,CBS
159,3,100000000,1000000000.0,USD,BN,CBS
160,4,1000000000,10000000000.0,USD,BN,CBS
161,5,10000000000,100000000000.0,USD,BN,CBS
162,6,100000000000,inf,USD,BN,CBS
163,1,0,10000000.0,USD,BO,CBS
164,2,10000000,100000000.0,USD,BO,CBS
165,3,100000000,1000000000.0,USD,BO,CBS
166,4,1000000000,10000000000.0,USD,BO,CBS
167,5,10000000000,100000000000.0,USD,BO,CBS
168,6,100000000000,inf,USD,BO,CBS
169,1,0,10000000.0,USD,BR,CBS
170,2,10000000,100000000.0,USD,BR,CBS
171,3,100000000,1000000000.0,USD,BR,CBS
172,4,1000000000,10000000000.0,USD,BR,CBS
173,5,10000000000,100000000000.0,USD,BR,CBS
174,6,100000000000,inf,USD,BR,CBS
175,1,0,10000000.0,USD,BS,CBS
176,2,10000000,100000000.0,USD,BS,CBS
177,3,100000000,1000000000.0,USD,BS,CBS
178,4,1000000000,10000000000.0,USD,BS,CBS
179,5,10000000000,100000000000.0,USD,BS,CBS
180,6,100000000000,inf,USD,BS,CBS
181,1,0,10000000.0,USD,BT,CBS
182,2,10000000,100000000.0,USD,BT,CBS
183,3,100000000,1000000000.0,USD,BT,CBS
184,4,1000000000,10000000000.0,USD,BT,CBS
185,5,10000000000,100000000000.0,USD,BT,CBS
186,6,100000000000,inf,USD,BT,CBS
187,1,0,10000000.0,USD,BV,CBS
188,2,10000000,100000000.0,USD,BV,CBS
189,3,100000000,1000000000.0,USD,BV,CBS
190,4,1000000000,10000000000.0,USD,BV,CBS
191,5,10000000000,100000000000.0,USD,BV,CBS
192,6,100000000000,inf,USD,BV,CBS
193,1,0,10000000.0,USD,BW,CBS
194,2,10000000,100000000.0,USD,BW,CBS
195,3,100000000,1000000000.0,USD,BW,CBS
196,4,1000000000,10000000000.0,USD,BW,CBS
197,5,10000000000,100000000000.0,USD,BW,CBS
198,6,100000000000,inf,USD,BW,CBS
199,1,0,10000000.0,USD,BY,CBS
200,2,10000000,100000000.0,USD,BY,CBS
201,3,100000000,1000000000.0,USD,BY,CBS
202,4,1000000000,10000000000.0,USD,BY,CBS
203,5,10000000000,100000000000.0,USD,BY,CBS
204,6,100000000000,inf,USD,BY,CBS
205,1,0,10000000.0,USD,BZ,CBS
206,2,10000000,100000000.0,USD,BZ,CBS
207,3,100000000,1000000000.0,USD,BZ,CBS
208,4,1000000000,10000000000.0,USD,BZ,CBS
209,5,10000000000,100000000000.0,USD,BZ,CBS
210,6,100000000000,inf,USD,BZ,CBS
211,1,0,10000000.0,USD,CA,CBS
212,2,10000000,100000000.0,USD,CA,CBS
213,3,100000000,1000000000.0,USD,CA,CBS
214,4,1000000000,10000000000.0,USD,CA,CBS
215,5,10000000000,100000000000.0,USD,CA,CBS
216,6,100000000000,inf,USD,CA,CBS
217,1,0,10000000.0,USD,CC,CBS
218,2,10000000,100000000.0,USD,CC,CBS
219,3,100000000,1000000000.0,USD,CC,CBS
220,4,1000000000,10000000000.0,USD,CC,CBS
221,5,10000000000,100000000000.0,USD,CC,CBS
222,6,100000000000,inf,USD,CC,CBS
223,1,0,10000000.0,USD,CD,CBS
224,2,10000000,100000000.0,USD,CD,CBS
225,3,100000000,1000000000.0,USD,CD,CBS
226,4,1000000000,10000000000.0,USD,CD,CBS
227,5,10000000000,100000000000.0,USD,CD,CBS
228,6,100000000000,inf,USD,CD,CBS
229,1,0,10000000.0,USD,CF,CBS
230,2,10000000,100000000.0,USD,CF,CBS
231,3,100000000,1000000000.0,USD,CF,CBS
232,4,1000000000,10000000000.0,USD,CF,CBS
233,5,10000000000,100000000000.0,USD,CF,CBS
234,6,100000000000,inf,USD,CF,CBS
235,1,0,10000000.0,USD,CG,CBS
236,2,10000000,100000000.0,USD,CG,CBS
237,3,100000000,1000000000.0,USD,CG,CBS
